year,occupancy_date,overnight_service_type,service_user_count,capacity_type,capacity_actual_bed,occupancy_rate_beds,capacity_actual_room,occupancy_rate_rooms
2024,2024-01-02,Motel/Hotel Shelter,30,Room Based Capacity,NA,NA,30,100
2024,2024-01-02,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,33,100
2024,2024-01-02,Shelter,225,Room Based Capacity,NA,NA,77,100
2024,2024-01-02,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-01-02,Shelter,77,Room Based Capacity,NA,NA,27,92.59
2024,2024-01-02,Shelter,86,Bed Based Capacity,86,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,98,Room Based Capacity,NA,NA,55,100
2024,2024-01-02,Shelter,78,Bed Based Capacity,78,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,131,Room Based Capacity,NA,NA,131,100
2024,2024-01-02,Shelter,264,Bed Based Capacity,264,100,NA,NA
2024,2024-01-02,Motel/Hotel Shelter,93,Room Based Capacity,NA,NA,52,100
2024,2024-01-02,Shelter,52,Bed Based Capacity,52,100,NA,NA
2024,2024-01-02,Shelter,46,Bed Based Capacity,46,100,NA,NA
2024,2024-01-02,Shelter,37,Bed Based Capacity,37,100,NA,NA
2024,2024-01-02,Shelter,71,Bed Based Capacity,71,100,NA,NA
2024,2024-01-02,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-01-02,Shelter,12,Room Based Capacity,NA,NA,4,100
2024,2024-01-02,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-01-02,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-01-02,24-Hour Respite Site,32,Bed Based Capacity,32,100,NA,NA
2024,2024-01-02,Shelter,12,Bed Based Capacity,12,100,NA,NA
2024,2024-01-02,Shelter,85,Room Based Capacity,NA,NA,27,100
2024,2024-01-02,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-01-02,Shelter,25,Bed Based Capacity,25,100,NA,NA
2024,2024-01-02,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-02,Shelter,31,Bed Based Capacity,31,100,NA,NA
2024,2024-01-02,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-01-02,Shelter,26,Bed Based Capacity,27,96.3,NA,NA
2024,2024-01-02,Shelter,33,Bed Based Capacity,33,100,NA,NA
2024,2024-01-02,Shelter,19,Bed Based Capacity,20,95,NA,NA
2024,2024-01-02,Shelter,10,Bed Based Capacity,10,100,NA,NA
2024,2024-01-02,Shelter,40,Bed Based Capacity,41,97.56,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,649,Room Based Capacity,NA,NA,150,99.33
2024,2024-01-03,Motel/Hotel Shelter,113,Room Based Capacity,NA,NA,57,100
2024,2024-01-03,Shelter,8,Bed Based Capacity,8,100,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,207,Room Based Capacity,NA,NA,68,100
2024,2024-01-03,Motel/Hotel Shelter,504,Room Based Capacity,NA,NA,160,100
2024,2024-01-03,Motel/Hotel Shelter,154,Room Based Capacity,NA,NA,143,100
2024,2024-01-03,Motel/Hotel Shelter,39,Room Based Capacity,NA,NA,39,100
2024,2024-01-03,Shelter,42,Bed Based Capacity,42,100,NA,NA
2024,2024-01-03,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-03,Warming Centre,23,Bed Based Capacity,23,100,NA,NA
2024,2024-01-03,Shelter,71,Room Based Capacity,NA,NA,30,100
2024,2024-01-03,Shelter,218,Room Based Capacity,NA,NA,63,100
2024,2024-01-03,Motel/Hotel Shelter,24,Room Based Capacity,NA,NA,12,100
2024,2024-01-03,Motel/Hotel Shelter,81,Room Based Capacity,NA,NA,81,100
2024,2024-01-03,Motel/Hotel Shelter,28,Room Based Capacity,NA,NA,15,100
2024,2024-01-03,Motel/Hotel Shelter,74,Room Based Capacity,NA,NA,75,98.67
2024,2024-01-03,Shelter,15,Bed Based Capacity,18,83.33,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,103,Room Based Capacity,NA,NA,103,100
2024,2024-01-03,Shelter,152,Room Based Capacity,NA,NA,45,100
2024,2024-01-03,Motel/Hotel Shelter,137,Room Based Capacity,NA,NA,48,100
2024,2024-01-03,Motel/Hotel Shelter,50,Room Based Capacity,NA,NA,20,100
2024,2024-01-03,Shelter,59,Bed Based Capacity,68,86.76,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,68,Room Based Capacity,NA,NA,69,94.2
2024,2024-01-03,Shelter,46,Bed Based Capacity,48,95.83,NA,NA
2024,2024-01-03,Shelter,100,Bed Based Capacity,100,100,NA,NA
2024,2024-01-03,Shelter,82,Room Based Capacity,NA,NA,33,100
2024,2024-01-03,Warming Centre,47,Bed Based Capacity,48,97.92,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,151,Room Based Capacity,NA,NA,133,100
2024,2024-01-03,Isolation/Recovery Site,15,Room Based Capacity,NA,NA,14,100
2024,2024-01-03,Shelter,93,Bed Based Capacity,93,100,NA,NA
2024,2024-01-03,Shelter,62,Bed Based Capacity,62,100,NA,NA
2024,2024-01-03,Shelter,66,Bed Based Capacity,67,98.51,NA,NA
2024,2024-01-03,Shelter,118,Bed Based Capacity,119,99.16,NA,NA
2024,2024-01-03,Shelter,31,Bed Based Capacity,36,86.11,NA,NA
2024,2024-01-03,Shelter,16,Bed Based Capacity,16,100,NA,NA
2024,2024-01-03,Shelter,53,Bed Based Capacity,53,100,NA,NA
2024,2024-01-03,Shelter,106,Bed Based Capacity,106,100,NA,NA
2024,2024-01-03,Shelter,33,Bed Based Capacity,35,94.29,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,66,Room Based Capacity,NA,NA,65,96.92
2024,2024-01-03,Shelter,88,Bed Based Capacity,88,100,NA,NA
2024,2024-01-03,Shelter,28,Bed Based Capacity,28,100,NA,NA
2024,2024-01-03,Shelter,1,Bed Based Capacity,2,50,NA,NA
2024,2024-01-03,Shelter,94,Bed Based Capacity,94,100,NA,NA
2024,2024-01-03,24-Hour Respite Site,29,Bed Based Capacity,30,96.67,NA,NA
2024,2024-01-03,Shelter,26,Bed Based Capacity,28,92.86,NA,NA
2024,2024-01-03,24-Hour Respite Site,78,Bed Based Capacity,78,100,NA,NA
2024,2024-01-03,24-Hour Respite Site,119,Bed Based Capacity,119,100,NA,NA
2024,2024-01-03,24-Hour Respite Site,50,Bed Based Capacity,50,100,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,84,Room Based Capacity,NA,NA,83,97.59
2024,2024-01-03,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-01-03,Shelter,30,Bed Based Capacity,30,100,NA,NA
2024,2024-01-03,Warming Centre,42,Bed Based Capacity,46,91.3,NA,NA
2024,2024-01-03,Shelter,49,Bed Based Capacity,50,98,NA,NA
2024,2024-01-03,Shelter,40,Bed Based Capacity,40,100,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,46,Room Based Capacity,NA,NA,46,100
2024,2024-01-03,Shelter,5,Bed Based Capacity,5,100,NA,NA
2024,2024-01-03,Shelter,7,Bed Based Capacity,11,63.64,NA,NA
2024,2024-01-03,Shelter,36,Bed Based Capacity,37,97.3,NA,NA
2024,2024-01-03,Shelter,23,Bed Based Capacity,25,92,NA,NA
2024,2024-01-03,24-Hour Women's Drop-in,52,Bed Based Capacity,52,100,NA,NA
2024,2024-01-03,Shelter,36,Bed Based Capacity,36,100,NA,NA
2024,2024-01-03,Shelter,69,Bed Based Capacity,70,98.57,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,277,Room Based Capacity,NA,NA,262,100
2024,2024-01-03,24-Hour Respite Site,61,Bed Based Capacity,70,87.14,NA,NA
2024,2024-01-03,24-Hour Respite Site,117,Bed Based Capacity,118,99.15,NA,NA
2024,2024-01-03,24-Hour Respite Site,59,Bed Based Capacity,60,98.33,NA,NA
2024,2024-01-03,Shelter,6,Bed Based Capacity,6,100,NA,NA
2024,2024-01-03,Shelter,26,Bed Based Capacity,26,100,NA,NA
2024,2024-01-03,Shelter,23,Bed Based Capacity,25,92,NA,NA
2024,2024-01-03,Shelter,35,Bed Based Capacity,35,100,NA,NA
2024,2024-01-03,Shelter,4,Bed Based Capacity,5,80,NA,NA
2024,2024-01-03,Motel/Hotel Shelter,47,Room Based Capacity,NA,NA,47,100
2024,2024-01-03,Shelter,61,Bed Based Capacity,61,100,NA,NA
2024,2024-01-03,Shelter,109,Bed Based Capacity,111,98.2,NA,NA
2024,2024-01-03,Shelter,34,Bed Based Capacity,34,100,NA,NA
2024,2024-01-03,Shelter,66,Bed Based Capacity,66,100,NA,NA
2024,2024-01-03,24-Hour Respite Site,73,Bed Based Capacity,73,100,NA,NA
2024,2024-01-03,Shelter,89,Bed Based Capacity,89,100,NA,NA
